iter	Passed	Remaining
0	59	29469
1	59	14875
2	60	10002
3	60	7555
4	61	6093
5	62	5115
6	62	4417
7	63	3891
8	63	3487
9	64	3166
10	65	2896
11	65	2671
12	66	2480
13	66	2317
14	67	2175
15	67	2049
16	68	1938
17	68	1841
18	69	1753
19	69	1675
20	70	1604
21	70	1539
22	71	1480
23	71	1425
24	72	1375
25	72	1329
26	73	1288
27	74	1249
28	74	1212
29	75	1177
30	75	1143
31	76	1114
32	76	1084
33	77	1058
34	77	1033
35	78	1009
36	78	986
37	79	964
38	79	944
39	80	925
40	80	906
41	81	888
42	82	872
43	82	856
44	83	840
45	83	826
46	84	812
47	84	797
48	85	785
49	85	772
50	86	760
51	86	749
52	87	738
53	88	727
54	88	716
55	89	706
56	89	695
57	90	686
58	90	677
59	91	668
60	91	659
61	92	651
62	92	643
63	93	635
64	93	627
65	94	620
66	94	612
67	95	605
68	95	599
69	96	592
70	97	586
71	97	579
72	98	573
73	98	569
74	99	563
75	99	557
76	100	551
77	100	546
78	101	541
79	102	535
80	102	531
81	103	526
82	103	521
83	104	516
84	104	512
85	105	507
86	105	503
87	106	498
88	107	494
89	107	489
90	108	485
91	108	481
92	108	476
93	109	472
94	109	468
95	110	465
96	111	461
97	111	457
98	112	454
99	112	450
100	113	447
101	113	443
102	114	440
103	114	436
104	115	433
105	115	430
106	116	428
107	117	425
108	117	422
109	118	419
110	118	416
111	119	414
112	119	410
113	120	407
114	120	404
115	121	401
116	121	398
117	122	395
118	122	392
119	123	389
120	123	387
121	124	384
122	124	381
123	124	378
124	125	376
125	125	373
126	126	371
127	126	368
128	127	366
129	128	364
130	128	362
131	129	359
132	129	357
133	130	355
134	130	352
135	130	350
136	131	348
137	132	346
138	132	344
139	133	342
140	133	340
141	134	338
142	134	336
143	135	333
144	135	332
145	136	330
146	136	327
147	136	325
148	137	323
149	137	321
150	138	320
151	139	318
152	139	316
153	139	314
154	140	312
155	140	310
156	141	309
157	141	307
158	142	305
159	142	303
160	143	302
161	144	300
162	144	299
163	145	297
164	145	295
165	146	294
166	146	292
167	147	291
168	147	289
169	148	287
170	148	286
171	149	284
172	149	283
173	150	281
174	150	280
175	151	278
176	151	277
177	152	276
178	153	274
179	153	273
180	154	272
181	154	270
182	155	269
183	155	267
184	156	266
185	157	265
186	158	264
187	158	263
188	159	261
189	159	260
190	160	258
191	160	257
192	161	256
193	161	254
194	162	253
195	162	252
196	163	250
197	163	249
198	164	248
199	164	246
200	165	245
201	165	244
202	166	243
203	166	241
204	167	240
205	167	239
206	168	237
207	168	236
