iter	Passed	Remaining
208	169	235
209	169	234
210	170	233
211	170	231
212	171	231
213	172	229
214	172	229
215	173	227
216	173	226
217	174	225
218	174	224
219	175	223
220	176	222
221	176	221
222	177	220
223	178	219
224	178	218
225	179	217
226	179	216
227	180	215
228	181	214
229	182	213
230	182	212
231	183	211
232	183	210
233	184	209
234	184	208
235	185	207
236	185	206
237	186	205
238	186	204
239	187	202
240	187	201
241	188	200
242	189	199
243	189	198
244	190	197
245	190	196
246	191	195
247	191	194
248	192	194
249	193	193
250	194	192
251	194	191
252	195	191
253	196	190
254	196	189
255	197	188
256	198	187
257	198	186
258	199	185
259	199	184
260	200	183
261	201	182
262	201	181
263	202	180
264	202	179
265	203	178
266	203	177
267	204	177
268	205	176
269	205	175
270	206	174
271	206	173
272	207	172
273	207	171
274	208	170
275	208	169
276	209	168
277	209	167
278	210	166
279	210	165
280	211	164
281	212	164
282	212	163
283	213	162
284	213	161
285	214	160
286	214	159
287	215	158
288	215	157
289	216	156
290	216	155
291	217	154
292	217	153
293	218	153
294	218	152
295	219	151
296	220	150
297	220	149
298	221	148
299	221	147
300	222	147
301	223	146
302	223	145
303	224	144
304	224	143
305	225	142
306	225	141
307	226	141
308	226	140
309	227	139
310	228	138
311	228	137
312	229	136
313	229	136
314	230	135
315	230	134
316	231	133
317	231	132
318	232	131
319	232	130
320	233	130
321	233	129
322	234	128
323	234	127
324	235	126
325	236	126
326	236	125
327	237	124
328	237	123
329	238	122
330	238	121
331	239	120
332	239	120
333	240	119
334	240	118
335	241	117
336	241	116
337	242	116
338	242	115
339	243	114
340	243	113
341	244	112
342	245	112
343	245	111
344	246	110
345	246	109
346	247	108
347	247	108
348	248	107
349	248	106
350	249	105
351	249	105
352	250	104
353	251	103
354	251	102
355	251	101
356	252	101
357	253	100
358	253	99
359	254	98
360	254	98
361	255	97
362	255	96
363	256	95
364	256	94
365	257	94
366	257	93
367	258	92
368	258	91
369	259	91
370	259	90
371	260	89
372	260	88
373	261	88
374	261	87
375	262	86
376	263	85
377	263	85
378	264	84
379	264	83
380	265	82
381	265	82
382	266	81
383	266	80
384	267	79
385	267	79
386	268	78
387	268	77
388	269	76
389	269	76
390	270	75
391	270	74
392	271	73
393	271	73
394	272	72
395	273	71
396	273	71
397	274	70
398	274	69
399	275	68
400	275	68
401	276	67
402	277	66
403	277	65
404	278	65
405	278	64
406	279	63
407	279	63
408	280	62
409	280	61
410	281	60
411	281	60
412	282	59
413	282	58
414	283	58
415	283	57
416	284	56
417	285	55
418	285	55
419	286	54
420	286	53
421	287	53
422	287	52
423	288	51
424	288	50
425	289	50
426	289	49
427	290	48
428	290	48
429	291	47
430	292	46
431	292	46
432	293	45
433	293	44
434	294	43
435	294	43
436	295	42
437	295	41
438	296	41
439	296	40
440	297	39
441	297	39
442	298	38
443	299	37
444	299	37
445	300	36
446	300	35
447	301	34
448	301	34
449	302	33
450	302	32
451	303	32
452	303	31
453	304	30
454	304	30
455	305	29
456	306	28
457	306	28
458	307	27
459	307	26
460	308	26
461	308	25
462	309	24
463	310	24
464	310	23
465	311	22
466	311	22
467	312	21
468	312	20
469	313	19
470	313	19
471	314	18
472	314	17
473	315	17
474	315	16
475	316	15
476	316	15
477	317	14
478	317	13
479	318	13
480	318	12
481	319	11
482	320	11
483	320	10
484	321	9
485	321	9
486	322	8
487	322	7
488	323	7
489	323	6
490	324	5
491	324	5
492	325	4
493	325	3
494	326	3
495	326	2
496	327	1
497	327	1
498	328	0
499	328	0
